building_id,cluster,damage_numeric,damage_grade
231201001611,0,4.0,Grade 4
231201001612,0,3.0,Grade 3
231201001621,0,4.0,Grade 4
231201001631,0,5.0,Grade 5
231201001641,0,2.0,Grade 2
231201001642,0,4.0,Grade 4
231201001651,0,5.0,Grade 5
231201001661,0,4.0,Grade 4
231201001671,0,5.0,Grade 5
231201001681,0,3.0,Grade 3
231201001691,0,5.0,Grade 5
231201001701,0,5.0,Grade 5
231201001711,0,4.0,Grade 4
231201001721,0,5.0,Grade 5
231201001731,0,5.0,Grade 5
231201001741,0,4.0,Grade 4
231201001751,0,3.0,Grade 3
231201001752,0,5.0,Grade 5
231201001761,0,3.0,Grade 3
231201001771,0,3.0,Grade 3
231201001781,0,4.0,Grade 4
231201001791,0,4.0,Grade 4
231201001801,0,4.0,Grade 4
231201001811,0,4.0,Grade 4
231201001821,0,4.0,Grade 4
231201001831,0,4.0,Grade 4
231201001841,0,3.0,Grade 3
231201001851,0,4.0,Grade 4
231201001861,0,3.0,Grade 3
231201001871,0,4.0,Grade 4
231201001881,0,3.0,Grade 3
231201001891,0,4.0,Grade 4
231201001901,0,4.0,Grade 4
231201001911,0,4.0,Grade 4
231201001921,0,4.0,Grade 4
231201001931,0,3.0,Grade 3
231201001941,0,5.0,Grade 5
231201001942,0,5.0,Grade 5
231201001951,0,3.0,Grade 3
231201001952,0,5.0,Grade 5
231201001961,0,5.0,Grade 5
231201001971,0,5.0,Grade 5
231201001981,0,3.0,Grade 3
231201001991,0,4.0,Grade 4
231201001992,0,5.0,Grade 5
231201002001,0,4.0,Grade 4
231201002011,0,4.0,Grade 4
231201002021,0,5.0,Grade 5
231201002031,0,5.0,Grade 5
231201002041,0,4.0,Grade 4
231201002042,0,4.0,Grade 4
231201002051,0,5.0,Grade 5
231201002061,0,5.0,Grade 5
231201002071,0,5.0,Grade 5
231201002081,0,5.0,Grade 5
231201002091,0,5.0,Grade 5
231201002101,0,5.0,Grade 5
231201002111,0,5.0,Grade 5
231201002121,0,5.0,Grade 5
231201002131,0,5.0,Grade 5
231201002141,0,5.0,Grade 5
231201002151,0,5.0,Grade 5
231201002161,0,5.0,Grade 5
231201002171,0,5.0,Grade 5
231201002172,0,4.0,Grade 4
231201002431,0,5.0,Grade 5
231201002181,0,4.0,Grade 4
231201002191,0,4.0,Grade 4
231201002201,0,5.0,Grade 5
231201002211,0,5.0,Grade 5
231201002221,0,4.0,Grade 4
231201002231,0,4.0,Grade 4
231201002241,0,4.0,Grade 4
231201002251,0,5.0,Grade 5
231201002261,0,5.0,Grade 5
231201002271,0,5.0,Grade 5
231201002281,0,5.0,Grade 5
231201002291,0,5.0,Grade 5
231201002301,0,5.0,Grade 5
231201002311,0,5.0,Grade 5
231201002321,0,5.0,Grade 5
231201002331,0,5.0,Grade 5
231201002341,0,5.0,Grade 5
231201002351,0,4.0,Grade 4
231201002361,0,4.0,Grade 4
231201002371,0,4.0,Grade 4
231201002381,0,5.0,Grade 5
231201002391,0,5.0,Grade 5
231201002401,0,5.0,Grade 5
231201002411,0,5.0,Grade 5
231201002421,0,4.0,Grade 4
231201002441,0,5.0,Grade 5
231201002451,0,5.0,Grade 5
231201002461,0,5.0,Grade 5
231201002471,0,5.0,Grade 5
231201002481,0,5.0,Grade 5
231201002491,0,3.0,Grade 3
231201002501,0,2.0,Grade 2
231201002511,0,2.0,Grade 2
231202000011,0,3.0,Grade 3
231202000021,0,4.0,Grade 4
231202000031,0,4.0,Grade 4
231202000041,0,5.0,Grade 5
231202000051,0,1.0,Grade 1
231202000061,0,1.0,Grade 1
231202000071,0,1.0,Grade 1
231202000081,0,4.0,Grade 4
231202000091,0,4.0,Grade 4
231202000101,0,2.0,Grade 2
231202000111,0,2.0,Grade 2
231202000121,0,2.0,Grade 2
