building_id,damage_numeric,predicted_severity
285909000831,4.0,3.4586209874325675
285909000861,4.0,3.45045200956577
285909000981,4.0,3.45045200956577
285909001161,4.0,3.4335662869212613
285909001251,5.0,4.987913556129212
285909001291,5.0,3.45045200956577
285909001331,4.0,3.4586209874325675
285909001431,4.0,3.4586209874325675
285909001471,5.0,4.987913556129212
285909001521,5.0,4.987913556129212
285909001551,5.0,3.59026142429328
285909001581,4.0,3.4586209874325675
285909001651,4.0,3.45045200956577
285909001661,4.0,3.4586209874325675
285909001741,5.0,4.987913556129212
285909001811,4.0,3.45045200956577
285909001901,5.0,4.987913556129212
285909001931,4.0,3.45045200956577
285909001941,4.0,3.4586209874325675
285909002051,4.0,3.45045200956577
285909002061,5.0,4.987913556129212
286001000071,5.0,4.987913556129212
286001000141,5.0,4.987913556129212
286001000161,5.0,4.987913556129212
286001000171,4.0,3.438557416676664
286001000181,5.0,4.987913556129212
286001000221,4.0,3.4051760957082924
286001000401,5.0,4.987913556129212
286001000421,4.0,3.6207535250195026
286001000471,5.0,4.987913556129212
286001000481,3.0,3.4586209874325675
286001000631,4.0,3.4586209874325675
286001000641,4.0,3.4586209874325675
286001000651,4.0,3.311596574058468
286001000652,4.0,3.292856798547691
286001000681,4.0,3.4358338993202175
286001000721,5.0,4.987913556129212
286001000801,4.0,3.4335662869212613
286001000851,4.0,3.45045200956577
286001000881,4.0,3.45045200956577
286001000891,4.0,3.2948405546124295
286001000901,4.0,3.4946447928235056
